得意先コード,袋,角底,手提げ袋,保存袋
6017,0,0,0,0
6018,0,1,0,0
6019,1,0,0,0
6020,0,0,0,0
6021,0,0,0,0
6022,0,0,0,0
6023,1,0,0,0
6024,1,0,0,0
6025,0,0,0,0
6026,0,0,0,0
6027,0,0,0,0
6028,0,0,0,0
6029,0,0,0,0
6030,0,1,0,0
6031,0,1,0,0
6032,0,1,0,0
6033,0,0,0,0
6034,0,0,0,0
6035,0,0,0,0
6036,0,0,0,0
6037,0,0,0,0
6038,0,0,0,0
6039,1,0,0,0
6040,0,0,0,0
6041,0,1,0,0
6042,0,1,0,0
6043,0,0,0,0
6044,0,0,0,0
6045,0,0,0,0
6046,0,0,0,0
6047,0,0,0,0
6048,0,0,0,0
6049,0,0,0,0
6050,0,0,0,0
6051,1,1,0,0
6052,0,0,0,0
6053,0,0,0,0
6054,0,0,0,0
6055,0,0,0,0
6056,0,0,0,0
6057,0,0,0,0
6058,1,1,0,0
6059,0,0,0,0
6060,0,1,1,0
6061,0,0,0,0
6062,0,0,0,0
6063,1,0,0,0
6064,1,1,0,1
6065,0,0,0,0
6066,1,0,0,0
6067,0,0,0,0
6068,0,1,0,0
6069,0,0,0,0
6070,1,0,0,0
6071,0,0,0,0
6072,0,0,0,0
6073,0,0,0,0
6076,1,1,0,0
6077,0,0,0,0
6078,0,1,0,0
6079,0,0,0,0
6080,0,0,0,0
6081,0,0,0,0
6082,1,0,0,0
6083,1,1,0,0
6084,0,0,0,0
6085,0,0,0,0
6086,0,0,0,0
6087,0,0,0,0
6088,1,1,0,0
6089,1,1,0,0
6090,0,0,0,0
6091,0,0,0,0
6092,0,1,0,0
6093,0,0,0,0
6094,0,1,1,0
6095,1,1,0,0
6096,0,0,0,0
6097,0,1,0,0
6098,0,0,0,0
6099,1,1,0,0
6100,1,1,0,0
6101,0,0,0,0
6102,0,0,0,0
6103,0,0,1,0
6104,1,1,0,0
6105,0,0,0,0
6106,0,0,0,0
6107,1,0,0,0
6108,0,0,0,0
6109,0,0,0,0
6110,0,0,0,0
6111,1,1,0,0
